sentence,original_label,original_book,book_Anna_Karenina,naive_Anna_Karenina,book_Frankenstein,naive_Frankenstein,book_The_Adventures_of_Alice_in_Wonderland,naive_The_Adventures_of_Alice_in_Wonderland,book_Wuthering_Heights,naive_Wuthering_Heights
"It was very different when the masters of the science sought immortality and power; such views, although futile, were grand; but now the scene was changed.",3,Frankenstein,0,0,1,1,0,0,0,0
But I tell you it s nothing to do with it.,1,Anna Karenina,1,1,0,0,0,0,1,0
"In the midst of my agitation, I was sincerely glad to observe that Catherine s arms had fallen relaxed, and her head hung down.",2,Wuthering Heights,0,0,1,0,0,0,1,1
I don t know him.,2,Wuthering Heights,1,0,0,0,0,0,1,1
"Alice said to herself, as well as she could for sneezing.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"I don t know, he answered, not thinking of what he was saying.",1,Anna Karenina,1,1,0,0,0,0,1,0
He laughed aloud with delight.,1,Anna Karenina,1,1,0,0,0,0,1,0
"He lost no time in endeavouring to seek him out, with the hope of persuading him to begin the world again through his credit and assistance.",3,Frankenstein,0,0,1,1,0,0,0,0
"With this intention I asked Mrs. Dean why Heathcliff let Thrushcross Grange, and preferred living in a situation and residence so much inferior.",2,Wuthering Heights,0,0,0,0,0,0,1,1
"Come, come, Stiva!",1,Anna Karenina,1,1,0,0,0,0,1,0
"The Rabbit Sends in a Little Bill It was the White Rabbit, trotting slowly back again, and looking anxiously about as it went, as if it had lost something; and she heard it muttering to itself The Duchess!",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"The form of the monster on whom I had bestowed existence was for ever before my eyes, and I raved incessantly concerning him.",3,Frankenstein,0,0,1,1,0,0,0,0
"Where shall I begin, please your Majesty?",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"Ye weep, unhappy ones, but these are not your last tears!",3,Frankenstein,1,0,1,1,1,0,0,0
I was overcome by gloom and misery and often reflected I had better seek death than desire to remain in a world which to me was replete with wretchedness.,3,Frankenstein,1,0,1,1,0,0,0,0
"I never thought about it, said Alice.",0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,0,0
cried Catherine in a passion.,2,Wuthering Heights,1,0,0,0,0,0,1,1
"You re mistaken, Mrs. Linton, said I.",2,Wuthering Heights,0,0,0,0,0,0,1,1
"If it had grown up, she said to herself, it would have made a dreadfully ugly child: but it makes rather a handsome pig, I think.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
Let me look.,2,Wuthering Heights,1,0,0,0,0,0,1,1
"Yes, I have seen his pictures.",1,Anna Karenina,1,1,0,0,0,0,1,0
"Well, so you ve not gone away yet?",1,Anna Karenina,1,1,0,0,0,0,1,0
"I have forgiven it, and you ought to forgive!",1,Anna Karenina,1,1,1,0,0,0,1,0
"Let him live with me in the interchange of kindness, and instead of injury I would bestow every benefit upon him with tears of gratitude at his acceptance.",3,Frankenstein,1,0,1,1,0,0,1,0
"It s a sad pity of that likely young lass, and cant Nelly Dean.",2,Wuthering Heights,0,0,0,0,0,0,1,1
Oh!,0,The Adventures of Alice in Wonderland,1,0,1,0,1,1,1,0
You re not afraid?,1,Anna Karenina,1,1,1,0,0,0,1,0
"All right, but do sit down.",1,Anna Karenina,1,1,0,0,0,0,1,0
"Some of the birds hurried off at once: one old Magpie began wrapping itself up very carefully, remarking, I really must be getting home; the night-air doesn t suit my throat!",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"I guessed he uttered those words, at least, though his voice was hardly intelligible.",2,Wuthering Heights,1,0,0,0,1,0,1,1
Have you known him long?,1,Anna Karenina,1,1,0,0,0,0,0,0
"Ah, how terrible and dear he was!...",1,Anna Karenina,1,1,0,0,0,0,1,0
"From the tortures of my own heart, I turned to contemplate the deep and voiceless grief of my Elizabeth.",3,Frankenstein,0,0,1,1,0,0,0,0
But what of him?,1,Anna Karenina,1,1,0,0,0,0,1,0
"He sat down himself, and, rubbing his little hands with short fingers covered with white hairs, he bent his head on one side.",1,Anna Karenina,1,1,0,0,0,0,1,0
"This benefit was fully repaid; Justine was the most grateful little creature in the world: I do not mean that she made any professions I never heard one pass her lips, but you could see by her eyes that she almost adored her protectress.",3,Frankenstein,0,0,1,1,0,0,0,0
"There was nothing else to do, so Alice soon began talking again.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"exclaimed Catherine, weeping bitterly.",2,Wuthering Heights,1,0,1,0,0,0,1,1
"I knew my silence disquieted them, and I well remembered the words of my father: I know that while you are pleased with yourself you will think of us with affection, and we shall hear regularly from you.",3,Frankenstein,0,0,1,1,0,0,0,0
"No one can conceive the variety of feelings which bore me onwards, like a hurricane, in the first enthusiasm of success.",3,Frankenstein,0,0,1,1,0,0,0,0
It came from the room into which Elizabeth had retired.,3,Frankenstein,0,0,1,1,0,0,0,0
"Presently two countrymen passed by, but pausing near the cottage, they entered into conversation, using violent gesticulations; but I did not understand what they said, as they spoke the language of the country, which differed from that of my protectors.",3,Frankenstein,0,0,1,1,0,0,0,0
How absurd you are!,1,Anna Karenina,1,1,0,0,1,0,0,0
I wonder if I shall ever see you any more!,0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,0,0
Only that brief time?,2,Wuthering Heights,1,0,0,0,0,0,1,1
"Always the same thing, she said, with a smile.",1,Anna Karenina,1,1,0,0,0,0,1,0
"His jaws opened, and he muttered some inarticulate sounds, while a grin wrinkled his cheeks.",3,Frankenstein,1,0,1,1,0,0,1,0
But I was perfectly unacquainted with towns and large assemblages of men.,3,Frankenstein,0,0,1,1,0,0,0,0
"He waited for her to answer, but she was silent, looking straight before her.",1,Anna Karenina,1,1,0,0,0,0,1,0
"If thou wert yet alive and yet cherished a desire of revenge against me, it would be better satiated in my life than in my destruction.",3,Frankenstein,0,0,1,1,0,0,1,0
"One was old, with silver hairs and a countenance beaming with benevolence and love; the younger was slight and graceful in his figure, and his features were moulded with the finest symmetry, yet his eyes and attitude expressed the utmost sadness and despondency.",3,Frankenstein,0,0,1,1,0,0,0,0
"I don t want to make you wretched, I don t want to!",1,Anna Karenina,1,1,0,0,0,0,1,0
Among his books!,2,Wuthering Heights,1,0,0,0,0,0,1,1
"The sleep into which I now sank refreshed me; and when I awoke, I again felt as if I belonged to a race of human beings like myself, and I began to reflect upon what had passed with greater composure; yet still the words of the fiend rang in my ears like a death-knell; they appeared like a dream, yet distinct and oppressive as a reality.",3,Frankenstein,0,0,1,1,0,0,0,0
These sublime and magnificent scenes afforded me the greatest consolation that I was capable of receiving.,3,Frankenstein,0,0,1,1,0,0,0,0
"I ve been expecting you all the while, said his mother, smiling sarcastically.",1,Anna Karenina,1,1,0,0,0,0,1,0
"I ll tell it her, said the Mock Turtle in a deep, hollow tone: sit down, both of you, and don t speak a word till I ve finished.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
We re coming directly!,1,Anna Karenina,1,1,0,0,0,0,1,0
"He is quieter now than he used to be, if no one provokes him: more sullen and depressed, and less furious.",2,Wuthering Heights,0,0,0,0,0,0,1,1
"My cheek had grown pale with study, and my person had become emaciated with confinement.",3,Frankenstein,0,0,1,1,0,0,0,0
Yet I was a fool to fancy for a moment that she valued Edgar Linton s attachment more than mine.,2,Wuthering Heights,0,0,0,0,0,0,1,1
"She is a widow, and much older than Manoir; but she is very much admired, and a favourite with everybody.",3,Frankenstein,0,0,1,1,0,0,0,0
"I inquired the way to the inn, but no one replied.",3,Frankenstein,0,0,1,1,0,0,0,0
